;;380.6771 s;;;142.4633 s;;;138.5619 s;;;109.1982 s;;;394.8132 s;;;93.6671 s;133.4111 s;105.2371 s;177.1936 s;390.8702 s;89.6806 s;;;
Brute X;Brute Y;time;Rand X;Rand Y;time;R_Breadth X;R_Breadth Y;time;D_Breadth X;D_Breadth Y;time;Ro_Breadth X;Ro_Breadth Y;time;Br_Breadth X;Br_Breadth Y;time;RoD_Breadth X;RoD_Breadth Y;time;rand time;double time;round time;breadth;ro_do
0;0;1.3845 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.5748 s;0.4086 s;1.6169 s;3.6786 s;0.8195 s
344;442;0.8149 s;344;442;0.0140 s;344;442;0.0140 s;344;442;0.0110 s;344;442;0.0120 s;344;442;0.0118 s;344;442;0.0110 s;0.0130 s;0.2280 s;0.0200 s;0.0514 s;0.0100 s
587;477;0.9163 s;587;477;0.0170 s;587;477;0.0070 s;587;477;0.0050 s;587;477;0.0050 s;587;477;0.0060 s;587;477;0.0050 s;0.0020 s;0.2460 s;0.4391 s;1.0682 s;0.2220 s
485;356;0.6699 s;485;356;0.0130 s;485;356;0.0130 s;485;356;0.0090 s;485;356;0.0100 s;485;356;0.0090 s;485;356;0.0100 s;0.0020 s;0.2087 s;0.0905 s;0.1200 s;0.0470 s
371;372;0.6901 s;371;372;0.0170 s;371;372;0.0180 s;371;372;0.0140 s;371;372;0.0140 s;371;372;0.0130 s;371;372;0.0140 s;0.0030 s;0.1880 s;0.0000 s;0.0000 s;0.0000 s
400;466;0.8802 s;400;466;0.0260 s;400;466;0.0160 s;400;466;0.0103 s;400;466;0.0110 s;400;466;0.0119 s;400;466;0.0120 s;0.0050 s;0.2430 s;0.0534 s;0.0822 s;0.0278 s
0;0;1.4043 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.5408 s;0.4240 s;1.6547 s;3.7510 s;0.8342 s
261;463;0.8390 s;261;463;0.0180 s;261;463;0.0110 s;261;463;0.0080 s;261;463;0.0080 s;261;463;0.0090 s;261;463;0.0090 s;0.0030 s;0.2360 s;0.1060 s;0.3874 s;0.0520 s
258;322;0.5780 s;258;322;0.0230 s;258;322;0.0110 s;258;322;0.0090 s;258;322;0.0090 s;258;322;0.0090 s;258;322;0.0090 s;0.0070 s;0.1600 s;0.1131 s;0.2620 s;0.0571 s
413;378;0.7167 s;413;378;0.0190 s;413;378;0.0160 s;413;378;0.0130 s;413;378;0.0130 s;413;378;0.0120 s;413;378;0.0120 s;0.0030 s;0.1900 s;0.0010 s;0.0020 s;0.0010 s
