;;380.2414 s;;;9.0735 s;;;4.4095 s;358.7403 s;95.5363 s;106.2883 s;176.9613 s;376.4479 s;89.2441 s
Brute X;Brute Y;time;Quad X;Quad Y;time;Breadth X;Breadth Y;time;Brute;Rand;Double;Round;Breadth;Round&Double
0;0;1.3822 s;0;0;0.0000 s;0;0;0.0000 s;1.3574 s;1.5845 s;0.4101 s;1.6014 s;3.4262 s;0.8067 s
0;0;0.6505 s;336;363;0.0140 s;336;363;0.0130 s;0.6132 s;0.0290 s;0.1834 s;0.0030 s;0.0050 s;0.0010 s
0;0;0.3506 s;273;196;0.0160 s;273;196;0.0060 s;0.3415 s;0.0930 s;0.0961 s;0.3029 s;0.8241 s;0.1521 s
0;0;0.8370 s;504;451;0.0200 s;504;451;0.0090 s;0.7813 s;0.0320 s;0.2440 s;0.1320 s;0.3660 s;0.0660 s
0;0;1.3705 s;0;0;0.0000 s;0;0;0.0000 s;1.3620 s;1.5807 s;0.4071 s;1.5931 s;3.4546 s;0.8029 s
0;0;0.6900 s;448;378;0.0160 s;448;378;0.0130 s;0.6240 s;0.0180 s;0.1860 s;0.0270 s;0.0280 s;0.0140 s
0;0;0.6561 s;188;373;0.0195 s;188;373;0.0080 s;0.6280 s;0.0491 s;0.1991 s;0.3393 s;0.3451 s;0.1710 s
0;0;0.6662 s;357;367;0.0266 s;357;367;0.0130 s;0.6149 s;0.0080 s;0.1820 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.9202 s;374;506;0.0210 s;374;506;0.0090 s;0.8766 s;0.0040 s;0.2587 s;0.1360 s;0.1411 s;0.0691 s
0;0;0.5127 s;311;287;0.0150 s;311;287;0.0100 s;0.4751 s;0.0140 s;0.1490 s;0.0520 s;0.1810 s;0.0260 s
0;0;0.7775 s;312;433;0.0210 s;312;433;0.0110 s;0.7331 s;0.0330 s;0.2180 s;0.0236 s;0.0906 s;0.0120 s
0;0;0.4085 s;227;233;0.0150 s;227;233;0.0060 s;0.3840 s;0.0810 s;0.1142 s;0.2101 s;0.8818 s;0.1070 s
0;0;1.1050 s;520;598;0.0165 s;520;598;0.0040 s;1.0558 s;0.0335 s;0.3127 s;0.4836 s;1.4570 s;0.2452 s
0;0;0.5827 s;546;312;0.0260 s;546;312;0.0080 s;0.5180 s;0.0700 s;0.1530 s;0.2640 s;0.5092 s;0.1325 s
0;0;0.9771 s;349;541;0.0200 s;349;541;0.0090 s;0.9427 s;0.0210 s;0.2785 s;0.2412 s;0.3140 s;0.1220 s
0;0;0.8421 s;432;461;0.0251 s;432;461;0.0096 s;0.7972 s;0.1038 s;0.2361 s;0.0430 s;0.1361 s;0.0225 s
0;0;1.3726 s;0;0;0.0000 s;0;0;0.0000 s;1.3821 s;1.6242 s;0.4060 s;1.6020 s;3.4715 s;0.8040 s
0;0;0.0100 s;443;4;0.0020 s;443;4;0.0000 s;0.0010 s;0.2180 s;0.0010 s;1.5457 s;2.1410 s;0.7806 s
