;;380.2414 s;;;9.0735 s;;;4.4095 s;358.7403 s;95.5363 s;106.2883 s;176.9613 s;376.4479 s;89.2441 s
Brute X;Brute Y;time;Quad X;Quad Y;time;Breadth X;Breadth Y;time;Brute;Rand;Double;Round;Breadth;Round&Double
0;0;1.3949 s;0;0;0.0000 s;0;0;0.0000 s;1.3910 s;1.6006 s;0.4096 s;1.6173 s;3.4928 s;0.8300 s
0;0;1.3822 s;0;0;0.0000 s;0;0;0.0000 s;1.3665 s;1.5920 s;0.4086 s;1.5985 s;3.4825 s;0.8141 s
0;0;0.2610 s;376;141;0.0160 s;376;141;0.0050 s;0.2321 s;0.1190 s;0.0700 s;0.5710 s;0.5930 s;0.2840 s
0;0;0.0530 s;298;29;0.0100 s;298;29;0.0020 s;0.0430 s;0.0220 s;0.0130 s;1.3285 s;2.0502 s;0.6653 s
0;0;1.3851 s;0;0;0.0000 s;0;0;0.0000 s;1.3830 s;1.5885 s;0.4041 s;1.6087 s;3.4833 s;0.8060 s
0;0;0.9422 s;327;519;0.0180 s;327;519;0.0080 s;0.9117 s;0.0667 s;0.2706 s;0.1711 s;0.3199 s;0.0876 s
0;0;0.7792 s;454;420;0.0210 s;454;420;0.0110 s;0.7161 s;0.0020 s;0.2116 s;0.0330 s;0.0890 s;0.0170 s
0;0;0.6881 s;397;374;0.0200 s;397;374;0.0150 s;0.6306 s;0.0450 s;0.1840 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.4431 s;594;230;0.0190 s;594;230;0.0040 s;0.3850 s;0.0100 s;0.1136 s;0.4697 s;1.4669 s;0.2357 s
0;0;0.8313 s;587;437;0.0255 s;587;437;0.0060 s;0.7577 s;0.0175 s;0.2225 s;0.4366 s;0.7351 s;0.2240 s
0;0;0.8790 s;436;475;0.0250 s;436;475;0.0100 s;0.8236 s;0.0090 s;0.2456 s;0.0660 s;0.1936 s;0.0330 s
0;0;1.2706 s;437;689;0.0178 s;437;689;0.0030 s;1.2514 s;0.0295 s;0.3672 s;1.0579 s;1.5488 s;0.5266 s
0;0;0.4940 s;273;273;0.0230 s;273;274;0.0090 s;0.4582 s;0.0350 s;0.1380 s;0.0920 s;0.3931 s;0.0470 s
0;0;0.6462 s;440;346;0.0180 s;440;346;0.0130 s;0.5792 s;0.0010 s;0.1700 s;0.0170 s;0.0401 s;0.0090 s
0;0;0.4751 s;488;252;0.0130 s;488;252;0.0070 s;0.4238 s;0.0140 s;0.1230 s;0.1284 s;0.5246 s;0.0710 s
0;0;0.7441 s;574;391;0.0170 s;574;391;0.0070 s;0.6692 s;0.0160 s;0.2020 s;0.3801 s;0.4161 s;0.1940 s
0;0;0.4198 s;345;231;0.0190 s;345;231;0.0100 s;0.3839 s;0.0395 s;0.1180 s;0.1840 s;0.2536 s;0.0905 s
0;0;0.6752 s;342;365;0.0256 s;342;365;0.0140 s;0.6127 s;0.0030 s;0.1791 s;0.0010 s;0.0010 s;0.0011 s
0;0;0.7486 s;338;412;0.0140 s;338;412;0.0120 s;0.6967 s;0.0340 s;0.2030 s;0.0050 s;0.0170 s;0.0020 s
0;0;0.7816 s;424;419;0.0200 s;424;419;0.0120 s;0.7060 s;0.0940 s;0.2114 s;0.0090 s;0.0350 s;0.0050 s
0;0;1.0082 s;240;561;0.0236 s;240;561;0.0050 s;0.9791 s;0.0124 s;0.2901 s;0.3171 s;1.0827 s;0.1605 s
0;0;0.8089 s;309;451;0.0240 s;309;451;0.0110 s;0.7743 s;0.0020 s;0.2251 s;0.0360 s;0.1506 s;0.0190 s
0;0;0.6802 s;388;362;0.0220 s;388;362;0.0150 s;0.5990 s;0.0060 s;0.1805 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.6443 s;339;348;0.0270 s;339;348;0.0130 s;0.5912 s;0.0410 s;0.1698 s;0.0030 s;0.0110 s;0.0010 s
0;0;0.8060 s;480;418;0.0270 s;480;418;0.0100 s;0.7299 s;0.0220 s;0.2099 s;0.0770 s;0.1885 s;0.0410 s
0;0;0.7219 s;376;375;0.0235 s;376;375;0.0140 s;0.6285 s;0.0160 s;0.1835 s;0.0010 s;0.0000 s;0.0000 s
0;0;1.1067 s;62;617;0.0200 s;62;617;0.0000 s;1.0971 s;0.0455 s;0.3235 s;1.0727 s;2.9901 s;0.5420 s
0;0;0.6381 s;179;362;0.0220 s;179;362;0.0070 s;0.6112 s;0.0260 s;0.1800 s;0.3821 s;0.4153 s;0.1922 s
0;0;0.7779 s;404;427;0.0250 s;404;427;0.0120 s;0.7236 s;0.0470 s;0.2140 s;0.0070 s;0.0210 s;0.0040 s
0;0;0.9000 s;399;497;0.0236 s;399;497;0.0101 s;0.8710 s;0.0250 s;0.2566 s;0.1110 s;0.1460 s;0.0561 s
0;0;0.6915 s;376;377;0.0275 s;376;377;0.0150 s;0.6270 s;0.0435 s;0.1860 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7970 s;573;428;0.0220 s;573;428;0.0061 s;0.7303 s;0.0270 s;0.2147 s;0.3676 s;0.5949 s;0.1840 s
0;0;1.3720 s;0;0;0.0000 s;0;0;0.0000 s;1.3476 s;1.5609 s;0.4020 s;1.6195 s;3.4279 s;0.8048 s
0;0;0.6895 s;401;380;0.0120 s;401;380;0.0136 s;0.6280 s;0.0320 s;0.1864 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.6654 s;420;365;0.0200 s;420;365;0.0130 s;0.6135 s;0.0306 s;0.1805 s;0.0030 s;0.0050 s;0.0020 s
0;0;1.2350 s;655;673;0.0190 s;655;673;0.0010 s;1.2065 s;0.0490 s;0.3511 s;0.9420 s;3.0200 s;0.4750 s
0;0;1.3561 s;0;0;0.0000 s;0;0;0.0000 s;1.3566 s;1.5703 s;0.4033 s;1.6199 s;3.4105 s;0.8071 s
0;0;0.6332 s;406;344;0.0280 s;406;344;0.0130 s;0.5690 s;0.0240 s;0.1710 s;0.0020 s;0.0070 s;0.0010 s
0;0;0.6520 s;387;356;0.0200 s;387;356;0.0140 s;0.6060 s;0.0120 s;0.1756 s;0.0000 s;0.0000 s;0.0000 s
0;0;1.0608 s;533;577;0.0200 s;534;577;0.0050 s;1.0205 s;0.0100 s;0.3055 s;0.4023 s;1.4221 s;0.1970 s
0;0;0.6245 s;347;346;0.0130 s;347;346;0.0130 s;0.5804 s;0.0380 s;0.1720 s;0.0020 s;0.0070 s;0.0010 s
0;0;0.9772 s;458;527;0.0220 s;458;527;0.0080 s;0.9171 s;0.0140 s;0.2700 s;0.1970 s;0.5030 s;0.1020 s
0;0;0.7810 s;358;417;0.0200 s;358;417;0.0130 s;0.7056 s;0.0079 s;0.2108 s;0.0020 s;0.0060 s;0.0020 s
0;0;0.8101 s;339;442;0.0240 s;339;442;0.0130 s;0.7640 s;0.0710 s;0.2240 s;0.0200 s;0.0580 s;0.0110 s
0;0;0.8106 s;340;448;0.0160 s;340;448;0.0120 s;0.7657 s;0.0060 s;0.2296 s;0.0255 s;0.0653 s;0.0130 s
0;0;0.7054 s;374;374;0.0275 s;374;374;0.0150 s;0.6437 s;0.0825 s;0.1846 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.6862 s;378;379;0.0140 s;378;379;0.0140 s;0.6334 s;0.0100 s;0.1897 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.6888 s;406;375;0.0190 s;406;375;0.0140 s;0.6231 s;0.0040 s;0.1836 s;0.0000 s;0.0000 s;0.0000 s
0;0;1.0094 s;630;537;0.0220 s;630;537;0.0030 s;0.9498 s;0.0040 s;0.2795 s;0.6540 s;1.9835 s;0.3280 s
0;0;0.6885 s;378;371;0.0250 s;378;371;0.0150 s;0.6313 s;0.0510 s;0.1830 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.6320 s;530;326;0.0150 s;530;326;0.0080 s;0.5421 s;0.0510 s;0.1620 s;0.2070 s;0.3725 s;0.1040 s
0;0;0.7141 s;377;387;0.0280 s;377;387;0.0140 s;0.6797 s;0.0010 s;0.1938 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7826 s;390;430;0.0220 s;390;430;0.0120 s;0.7268 s;0.0100 s;0.2151 s;0.0100 s;0.0120 s;0.0050 s
0;0;1.3703 s;0;0;0.0000 s;0;0;0.0000 s;1.3743 s;1.5953 s;0.4072 s;1.6223 s;3.4570 s;0.8265 s
0;0;0.6748 s;382;364;0.0225 s;382;364;0.0140 s;0.6136 s;0.0540 s;0.1817 s;0.0010 s;0.0000 s;0.0000 s
0;0;0.8027 s;454;434;0.0221 s;454;434;0.0109 s;0.7446 s;0.0196 s;0.2179 s;0.0340 s;0.1260 s;0.0170 s
0;0;0.7936 s;156;449;0.0180 s;156;449;0.0050 s;0.7625 s;0.0210 s;0.2260 s;0.4820 s;0.8738 s;0.2421 s
0;0;0.8232 s;727;437;0.0170 s;727;437;0.0020 s;0.7683 s;0.0050 s;0.2260 s;1.3351 s;1.8870 s;0.6844 s
0;0;0.3675 s;618;190;0.0190 s;618;190;0.0020 s;0.3156 s;0.0210 s;0.0940 s;0.5891 s;2.0752 s;0.2976 s
0;0;1.3649 s;0;0;0.0000 s;0;0;0.0000 s;1.3500 s;1.5693 s;0.4045 s;1.5862 s;3.3875 s;0.7956 s
0;0;1.0680 s;407;591;0.0190 s;407;591;0.0060 s;1.0316 s;0.0700 s;0.3080 s;0.4475 s;0.5690 s;0.2250 s
0;0;0.9021 s;161;512;0.0260 s;161;512;0.0050 s;0.8800 s;0.0850 s;0.2600 s;0.4520 s;1.3198 s;0.2260 s
0;0;0.6356 s;331;354;0.0290 s;331;354;0.0130 s;0.5880 s;0.0020 s;0.1720 s;0.0050 s;0.0120 s;0.0020 s
0;0;0.7115 s;456;385;0.0250 s;456;385;0.0110 s;0.6431 s;0.0300 s;0.1900 s;0.0360 s;0.0370 s;0.0190 s
0;0;0.8629 s;340;478;0.0170 s;340;478;0.0100 s;0.8181 s;0.0320 s;0.2425 s;0.0710 s;0.1310 s;0.0360 s
0;0;1.3556 s;0;0;0.0000 s;0;0;0.0000 s;1.3538 s;1.5706 s;0.4030 s;1.5776 s;3.4008 s;0.8069 s
0;0;0.3916 s;443;211;0.0235 s;443;211;0.0080 s;0.3457 s;0.0090 s;0.1020 s;0.2505 s;0.4990 s;0.1250 s
0;0;0.6830 s;375;376;0.0185 s;375;376;0.0140 s;0.6243 s;0.0345 s;0.1846 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.4635 s;247;264;0.0220 s;247;264;0.0080 s;0.4370 s;0.0110 s;0.1280 s;0.1375 s;0.5515 s;0.0695 s
0;0;0.2935 s;408;160;0.0190 s;408;160;0.0060 s;0.2615 s;0.0291 s;0.0781 s;0.4590 s;0.5863 s;0.2310 s
0;0;0.9220 s;511;505;0.0240 s;511;505;0.0080 s;0.8782 s;0.0100 s;0.2581 s;0.1630 s;0.6862 s;0.0820 s
0;0;1.3719 s;0;0;0.0000 s;0;0;0.0000 s;1.3745 s;1.5891 s;0.4121 s;1.6067 s;3.4970 s;0.8302 s
0;0;0.5896 s;318;322;0.0135 s;318;322;0.0124 s;0.5732 s;0.0160 s;0.1602 s;0.0200 s;0.0769 s;0.0110 s
0;0;0.7496 s;332;406;0.0165 s;333;406;0.0120 s;0.7145 s;0.0765 s;0.2040 s;0.0040 s;0.0170 s;0.0030 s
0;0;0.2437 s;502;129;0.0160 s;502;129;0.0030 s;0.2130 s;0.0365 s;0.0640 s;0.6367 s;1.5676 s;0.3190 s
0;0;0.6438 s;340;351;0.0250 s;340;351;0.0130 s;0.5916 s;0.0060 s;0.1745 s;0.0030 s;0.0070 s;0.0010 s
0;0;0.7230 s;403;390;0.0191 s;403;390;0.0146 s;0.6606 s;0.0623 s;0.1940 s;0.0000 s;0.0000 s;0.0000 s
0;0;1.3765 s;0;0;0.0000 s;0;0;0.0000 s;1.3728 s;1.5837 s;0.4093 s;1.5998 s;3.4557 s;0.8143 s
0;0;1.0666 s;323;577;0.0240 s;323;577;0.0070 s;1.0252 s;0.0470 s;0.3026 s;0.3905 s;0.6474 s;0.1994 s
0;0;0.6376 s;451;331;0.0170 s;451;331;0.0110 s;0.5672 s;0.0620 s;0.1639 s;0.0300 s;0.0910 s;0.0160 s
0;0;0.4051 s;568;209;0.0190 s;568;209;0.0040 s;0.3510 s;0.0530 s;0.1050 s;0.3526 s;1.4514 s;0.1792 s
0;0;0.6965 s;371;365;0.0297 s;371;365;0.0149 s;0.6178 s;0.0325 s;0.1829 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.6368 s;432;344;0.0130 s;432;344;0.0120 s;0.5774 s;0.0660 s;0.1700 s;0.0100 s;0.0330 s;0.0060 s
0;0;0.6240 s;366;340;0.0258 s;366;340;0.0140 s;0.5740 s;0.0320 s;0.1681 s;0.0020 s;0.0020 s;0.0010 s
0;0;0.2850 s;282;159;0.0226 s;282;159;0.0050 s;0.2612 s;0.0395 s;0.0780 s;0.4848 s;1.0497 s;0.2353 s
0;0;1.3694 s;0;0;0.0000 s;0;0;0.0000 s;1.3645 s;1.5733 s;0.4061 s;1.5970 s;3.4650 s;0.8032 s
0;0;0.7909 s;325;436;0.0240 s;325;436;0.0120 s;0.7469 s;0.1015 s;0.2190 s;0.0180 s;0.0710 s;0.0090 s
0;0;0.6866 s;378;376;0.0291 s;378;376;0.0151 s;0.6321 s;0.0219 s;0.1847 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7246 s;375;401;0.0270 s;375;401;0.0140 s;0.6690 s;0.0420 s;0.1986 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.8301 s;379;452;0.0210 s;379;452;0.0120 s;0.7750 s;0.0120 s;0.2295 s;0.0300 s;0.0310 s;0.0160 s
0;0;0.5699 s;432;310;0.0150 s;432;310;0.0110 s;0.5173 s;0.0140 s;0.1520 s;0.0240 s;0.0935 s;0.0120 s
0;0;0.7036 s;400;385;0.0280 s;400;385;0.0150 s;0.6396 s;0.0350 s;0.1890 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.4707 s;296;263;0.0220 s;296;263;0.0090 s;0.4407 s;0.0286 s;0.1286 s;0.0970 s;0.3278 s;0.0485 s
0;0;1.2144 s;617;661;0.0170 s;618;661;0.0020 s;1.1867 s;0.0010 s;0.3482 s;0.8532 s;2.7790 s;0.4311 s
0;0;0.4487 s;210;257;0.0240 s;210;257;0.0070 s;0.4222 s;0.0200 s;0.1260 s;0.2520 s;0.8310 s;0.1270 s
0;0;0.5234 s;206;296;0.0247 s;206;296;0.0070 s;0.4945 s;0.0156 s;0.1459 s;0.2662 s;0.6164 s;0.1326 s
0;0;0.5865 s;300;325;0.0200 s;300;325;0.0110 s;0.5461 s;0.0260 s;0.1615 s;0.0320 s;0.1070 s;0.0160 s
0;0;0.6076 s;320;339;0.0135 s;320;338;0.0120 s;0.5584 s;0.0079 s;0.1670 s;0.0130 s;0.0420 s;0.0064 s
0;0;0.6933 s;378;379;0.0256 s;378;379;0.0140 s;0.6346 s;0.0180 s;0.1869 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7537 s;398;409;0.0240 s;398;409;0.0130 s;0.6966 s;0.0050 s;0.2057 s;0.0010 s;0.0040 s;0.0010 s
0;0;0.7963 s;327;443;0.0250 s;327;443;0.0110 s;0.7496 s;0.0195 s;0.2248 s;0.0210 s;0.0800 s;0.0110 s
0;0;1.1895 s;202;655;0.0215 s;202;655;0.0020 s;1.1754 s;0.0180 s;0.3470 s;0.8141 s;2.2947 s;0.4103 s
0;0;0.5811 s;431;313;0.0190 s;431;313;0.0120 s;0.5252 s;0.0030 s;0.1550 s;0.0220 s;0.0855 s;0.0115 s
0;0;0.3476 s;368;193;0.0220 s;368;193;0.0070 s;0.3180 s;0.0675 s;0.0940 s;0.3186 s;0.3375 s;0.1589 s
0;0;0.6574 s;404;357;0.0160 s;404;357;0.0140 s;0.5942 s;0.0070 s;0.1756 s;0.0000 s;0.0020 s;0.0000 s
0;0;0.6801 s;393;370;0.0200 s;393;370;0.0140 s;0.6400 s;0.0125 s;0.1870 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.6370 s;466;337;0.0180 s;466;337;0.0120 s;0.5655 s;0.0066 s;0.1700 s;0.0540 s;0.1120 s;0.0260 s
0;0;0.8866 s;434;471;0.0260 s;434;471;0.0100 s;0.8211 s;0.0040 s;0.2445 s;0.0590 s;0.1778 s;0.0300 s
0;0;0.6776 s;400;363;0.0220 s;400;363;0.0150 s;0.6105 s;0.0340 s;0.1830 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.4810 s;300;267;0.0240 s;300;267;0.0090 s;0.4480 s;0.1380 s;0.1340 s;0.0930 s;0.2981 s;0.0465 s
0;0;0.3727 s;613;191;0.0200 s;613;191;0.0020 s;0.3177 s;0.0600 s;0.0940 s;0.5856 s;2.0397 s;0.3035 s
0;0;0.6910 s;355;378;0.0211 s;355;378;0.0140 s;0.6395 s;0.0080 s;0.1901 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.3041 s;83;177;0.0195 s;83;177;0.0010 s;0.2935 s;0.0720 s;0.0875 s;0.9266 s;2.6003 s;0.4721 s
0;0;0.6479 s;348;351;0.0195 s;348;351;0.0130 s;0.6021 s;0.0030 s;0.1755 s;0.0010 s;0.0040 s;0.0010 s
0;0;0.7202 s;325;397;0.0140 s;325;397;0.0120 s;0.6710 s;0.0400 s;0.1980 s;0.0090 s;0.0140 s;0.0040 s
0;0;0.6722 s;341;370;0.0160 s;341;370;0.0130 s;0.6211 s;0.0330 s;0.1830 s;0.0010 s;0.0020 s;0.0000 s
0;0;0.6377 s;345;348;0.0260 s;345;348;0.0130 s;0.5870 s;0.0140 s;0.1725 s;0.0020 s;0.0070 s;0.0010 s
0;0;0.7424 s;246;413;0.0170 s;246;413;0.0090 s;0.7018 s;0.0020 s;0.2084 s;0.1410 s;0.2255 s;0.0720 s
0;0;0.4761 s;348;259;0.0180 s;348;259;0.0100 s;0.4330 s;0.0340 s;0.1290 s;0.1080 s;0.1550 s;0.0530 s
0;0;1.3809 s;0;0;0.0000 s;0;0;0.0000 s;1.3755 s;1.5981 s;0.4142 s;1.6223 s;3.5067 s;0.8108 s
0;0;0.5840 s;416;316;0.0260 s;416;316;0.0120 s;0.5289 s;0.0520 s;0.1560 s;0.0160 s;0.0510 s;0.0080 s
0;0;1.3758 s;0;0;0.0000 s;0;0;0.0000 s;1.3735 s;1.5799 s;0.4060 s;1.6070 s;3.5210 s;0.8081 s
0;0;0.6432 s;323;354;0.0190 s;323;354;0.0130 s;0.6055 s;0.1145 s;0.1761 s;0.0100 s;0.0190 s;0.0060 s
0;0;0.7053 s;269;391;0.0150 s;269;391;0.0100 s;0.6625 s;0.0040 s;0.2018 s;0.0870 s;0.0970 s;0.0440 s
0;0;0.7103 s;390;385;0.0250 s;390;385;0.0150 s;0.6424 s;0.0360 s;0.1909 s;0.0000 s;0.0000 s;0.0000 s
0;0;1.3856 s;0;0;0.0000 s;0;0;0.0000 s;1.3739 s;1.5911 s;0.4172 s;1.6224 s;3.4636 s;0.8096 s
0;0;1.3781 s;0;0;0.0000 s;0;0;0.0000 s;1.3786 s;1.5934 s;0.4146 s;1.6026 s;3.5134 s;0.8245 s
0;0;0.1760 s;470;95;0.0176 s;470;95;0.0029 s;0.1524 s;0.0140 s;0.0460 s;0.8545 s;1.6167 s;0.4306 s
0;0;0.4416 s;423;231;0.0190 s;423;231;0.0090 s;0.4001 s;0.0060 s;0.1195 s;0.1875 s;0.3356 s;0.0940 s
0;0;0.5866 s;142;338;0.0195 s;142;338;0.0050 s;0.5740 s;0.0505 s;0.1815 s;0.5786 s;0.7740 s;0.2865 s
0;0;0.6806 s;675;354;0.0185 s;675;354;0.0030 s;0.6015 s;0.0311 s;0.1819 s;0.9599 s;1.1103 s;0.4852 s
0;0;0.9426 s;332;513;0.0180 s;332;513;0.0090 s;0.9088 s;0.0270 s;0.2636 s;0.1553 s;0.2835 s;0.0800 s
0;0;0.6374 s;315;351;0.0170 s;315;351;0.0120 s;0.6006 s;0.0350 s;0.1740 s;0.0170 s;0.0335 s;0.0080 s
0;0;0.5770 s;366;314;0.0250 s;366;314;0.0120 s;0.5283 s;0.0225 s;0.1570 s;0.0170 s;0.0180 s;0.0080 s
0;0;0.6876 s;378;372;0.0194 s;378;372;0.0150 s;0.6346 s;0.0476 s;0.1883 s;0.0000 s;0.0000 s;0.0000 s
0;0;1.0917 s;355;591;0.0190 s;355;591;0.0060 s;1.0638 s;0.0030 s;0.3140 s;0.4636 s;0.5535 s;0.2356 s
0;0;0.7892 s;443;423;0.0205 s;443;423;0.0120 s;0.7199 s;0.0560 s;0.2155 s;0.0220 s;0.0770 s;0.0110 s
0;0;1.3987 s;0;0;0.0000 s;0;0;0.0000 s;1.3821 s;1.5974 s;0.4081 s;1.6018 s;3.4645 s;0.8129 s
0;0;0.8729 s;381;473;0.0140 s;381;473;0.0110 s;0.8216 s;0.0120 s;0.2417 s;0.0616 s;0.0659 s;0.0320 s
0;0;0.8530 s;307;468;0.0260 s;307;468;0.0090 s;0.8131 s;0.0140 s;0.2390 s;0.0540 s;0.2029 s;0.0290 s
0;0;0.6905 s;390;369;0.0260 s;390;369;0.0150 s;0.6250 s;0.0321 s;0.1880 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.8171 s;64;450;0.0160 s;64;450;0.0030 s;0.7832 s;0.0080 s;0.2303 s;1.0602 s;1.6759 s;0.5311 s
0;0;0.4012 s;330;224;0.0220 s;330;224;0.0090 s;0.3731 s;0.0835 s;0.1111 s;0.2051 s;0.3556 s;0.1030 s
0;0;0.4865 s;405;261;0.0230 s;405;261;0.0100 s;0.4399 s;0.0248 s;0.1308 s;0.1050 s;0.1540 s;0.0520 s
0;0;0.8794 s;302;481;0.0130 s;302;481;0.0090 s;0.8401 s;0.0250 s;0.2480 s;0.0780 s;0.2669 s;0.0390 s
0;0;0.5115 s;465;270;0.0270 s;465;270;0.0090 s;0.4481 s;0.0450 s;0.1390 s;0.0880 s;0.3372 s;0.0440 s
0;0;0.6791 s;324;369;0.0130 s;324;369;0.0121 s;0.6269 s;0.0290 s;0.1842 s;0.0090 s;0.0100 s;0.0050 s
0;0;1.0112 s;432;544;0.0200 s;432;544;0.0080 s;0.9678 s;0.0060 s;0.2840 s;0.2570 s;0.4599 s;0.1300 s
0;0;0.6236 s;393;339;0.0235 s;393;339;0.0140 s;0.5727 s;0.0270 s;0.1670 s;0.0020 s;0.0040 s;0.0000 s
0;0;0.7481 s;369;407;0.0250 s;369;407;0.0130 s;0.6957 s;0.0010 s;0.2060 s;0.0000 s;0.0000 s;0.0000 s
0;0;1.3503 s;613;732;0.0190 s;0;0;0.0000 s;1.3382 s;0.4046 s;0.3961 s;1.4309 s;3.1431 s;0.7273 s
0;0;0.0895 s;304;50;0.0160 s;304;50;0.0020 s;0.0780 s;0.0290 s;0.0240 s;1.1662 s;1.8215 s;0.5825 s
0;0;0.7464 s;538;393;0.0215 s;538;393;0.0090 s;0.6721 s;0.0210 s;0.1975 s;0.2358 s;0.2671 s;0.1200 s
0;0;0.3940 s;589;205;0.0190 s;589;205;0.0030 s;0.3499 s;0.0030 s;0.1021 s;0.4501 s;1.6505 s;0.2250 s
0;0;1.0129 s;549;549;0.0210 s;549;549;0.0060 s;0.9605 s;0.0050 s;0.2840 s;0.3010 s;1.3161 s;0.1540 s
0;0;0.3417 s;280;188;0.0190 s;280;188;0.0070 s;0.3160 s;0.0198 s;0.0915 s;0.3397 s;0.8293 s;0.1696 s
0;0;0.7014 s;511;373;0.0210 s;511;373;0.0100 s;0.6303 s;0.0100 s;0.1860 s;0.1522 s;0.1555 s;0.0785 s
0;0;0.3655 s;400;200;0.0180 s;400;200;0.0080 s;0.3310 s;0.0500 s;0.0980 s;0.2931 s;0.3521 s;0.1460 s
0;0;0.9845 s;390;532;0.0160 s;390;532;0.0080 s;0.9487 s;0.0075 s;0.2785 s;0.2190 s;0.2371 s;0.1079 s
0;0;0.7178 s;374;387;0.0160 s;374;387;0.0150 s;0.6540 s;0.0010 s;0.1932 s;0.0010 s;0.0000 s;0.0000 s
0;0;0.8747 s;163;495;0.0130 s;163;495;0.0050 s;0.8512 s;0.0260 s;0.2548 s;0.4586 s;1.2125 s;0.2270 s
0;0;0.6961 s;338;381;0.0130 s;338;381;0.0140 s;0.6411 s;0.0144 s;0.1895 s;0.0020 s;0.0020 s;0.0010 s
0;0;1.3749 s;0;0;0.0000 s;0;0;0.0000 s;1.3720 s;1.5890 s;0.4101 s;1.6138 s;3.4877 s;0.8152 s
0;0;1.3690 s;0;0;0.0000 s;0;0;0.0000 s;1.3576 s;1.5813 s;0.4050 s;1.6033 s;3.4931 s;0.8130 s
0;0;0.9721 s;571;518;0.0140 s;571;518;0.0050 s;0.9109 s;0.0020 s;0.2689 s;0.3621 s;1.2278 s;0.1845 s
0;0;0.4865 s;397;262;0.0240 s;397;262;0.0100 s;0.4410 s;0.0150 s;0.1291 s;0.1030 s;0.1257 s;0.0510 s
0;0;0.1925 s;143;111;0.0190 s;143;111;0.0020 s;0.1827 s;0.0430 s;0.0560 s;0.7470 s;2.6743 s;0.3735 s
0;0;0.8225 s;517;439;0.0250 s;517;439;0.0090 s;0.7610 s;0.0420 s;0.2241 s;0.1680 s;0.3670 s;0.0855 s
0;0;1.2265 s;214;674;0.0160 s;214;674;0.0020 s;1.2115 s;0.1171 s;0.3557 s;0.9350 s;2.3554 s;0.4774 s
0;0;0.6169 s;394;338;0.0120 s;394;338;0.0143 s;0.5606 s;0.0100 s;0.1687 s;0.0020 s;0.0040 s;0.0020 s
0;0;0.7061 s;303;387;0.0240 s;303;387;0.0120 s;0.6558 s;0.0140 s;0.1917 s;0.0305 s;0.0320 s;0.0150 s
0;0;0.7219 s;435;388;0.0210 s;435;388;0.0130 s;0.6582 s;0.0390 s;0.1940 s;0.0130 s;0.0150 s;0.0080 s
0;0;0.6414 s;369;350;0.0140 s;369;350;0.0140 s;0.5896 s;0.0100 s;0.1740 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.5759 s;62;330;0.0176 s;62;330;0.0030 s;0.5658 s;0.0020 s;0.1681 s;1.0724 s;1.4392 s;0.5390 s
0;0;1.3972 s;0;0;0.0000 s;0;0;0.0000 s;1.3786 s;1.5762 s;0.4069 s;1.6061 s;3.4815 s;0.8132 s
0;0;0.3247 s;424;176;0.0250 s;424;176;0.0070 s;0.2917 s;0.0030 s;0.0865 s;0.3897 s;0.5984 s;0.1950 s
0;0;0.2765 s;625;142;0.0170 s;625;142;0.0020 s;0.2380 s;0.0020 s;0.0700 s;0.6472 s;2.5200 s;0.3250 s
0;0;0.6860 s;354;368;0.0170 s;354;368;0.0150 s;0.6186 s;0.0280 s;0.1840 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.6766 s;352;374;0.0170 s;352;374;0.0130 s;0.6273 s;0.0305 s;0.1841 s;0.0010 s;0.0000 s;0.0000 s
0;0;0.8268 s;348;451;0.0220 s;348;451;0.0120 s;0.7785 s;0.0370 s;0.2302 s;0.0300 s;0.0555 s;0.0150 s
0;0;0.5945 s;431;319;0.0170 s;431;319;0.0110 s;0.5352 s;0.0020 s;0.1610 s;0.0180 s;0.0720 s;0.0090 s
0;0;0.9766 s;509;531;0.0230 s;509;531;0.0070 s;0.9262 s;0.0200 s;0.2735 s;0.2125 s;0.8473 s;0.1055 s
0;0;0.6026 s;502;320;0.0180 s;502;320;0.0100 s;0.5410 s;0.0380 s;0.1587 s;0.1260 s;0.2796 s;0.0651 s
0;0;0.5307 s;371;288;0.0220 s;371;288;0.0110 s;0.4801 s;0.0040 s;0.1430 s;0.0500 s;0.0525 s;0.0250 s
